Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,20,22,499900.0,4.395918367346939,0.8015071405070584,175,
In-Sample,Medoid 1,160,200,393015.0,4.395918367346939,0.647176,21,
In-Sample,Medoid 2,154,206,302950.0,4.395918367346939,0.503648,21,
In-Sample,Medoid 3,104,238,214650.0,4.395918367346939,0.388799,15,
In-Sample,Medoid 4,18,290,113980.0,4.395918367346939,0.382058,21,
In-Sample,Medoid 5,136,226,226735.0,4.395918367346939,0.359384,17,
Out-of-Sample,Best,20,22,26690.0,2.878619153674833,0.08992216894924686,81,
Out-of-Sample,Medoid 1,160,200,172105.0,2.878619153674833,0.5804246516452282,9,
Out-of-Sample,Medoid 2,154,206,191380.0,2.878619153674833,0.6454675354156416,11,
Out-of-Sample,Medoid 3,104,238,204560.0,2.878619153674833,0.6900934865208256,5,
Out-of-Sample,Medoid 4,18,290,87855.0,2.878619153674833,0.296157695935641,8,
Out-of-Sample,Medoid 5,136,226,227000.0,2.878619153674833,0.7659917608933513,7,
Full,Best,20,22,526590.0,3.919174247725682,0.5718744202227227,256,8.0
Full,Medoid 1,160,200,565120.0,3.919174247725682,0.6137428751258194,21,8.0
Full,Medoid 2,154,206,494330.0,3.919174247725682,0.5367577689517384,21,8.0
Full,Medoid 3,104,238,419210.0,3.919174247725682,0.45512280018407564,15,8.0
Full,Medoid 4,18,290,201835.0,3.919174247725682,0.21906411580192914,20,8.0
Full,Medoid 5,136,226,453735.0,3.919174247725682,0.4926507249200766,17,8.0
