Period,Strategy,Short_SMA,Long_SMA,PnL,Return_Percent,Sharpe,Trades
In-Sample,Best,160,270,-3150.0,-0.315,-0.013883855033126039,8
In-Sample,Medoid 1,215,230,-30400.0,-3.04,-0.1341059680317878,22
In-Sample,Medoid 2,195,235,-25500.0,-2.55,-0.11357168013625654,14
In-Sample,Medoid 3,255,285,-29300.0,-2.93,-0.1316905619324605,14
In-Sample,Medoid 4,170,205,-60300.0,-6.03,-0.2699633873264735,17
In-Sample,Medoid 5,15,95,-233450.0,-23.345,-0.9987069558344497,39
Out-of-Sample,Best,160,270,559850.0,55.985,1.0739850778532594,4
Out-of-Sample,Medoid 1,215,230,567650.0,56.765,1.0944213397603257,10
Out-of-Sample,Medoid 2,195,235,539150.0,53.915,1.0263460026534132,6
Out-of-Sample,Medoid 3,255,285,557850.0,55.785,1.0709836091065796,10
Out-of-Sample,Medoid 4,170,205,576850.0,57.684999999999995,1.117648714763365,5
Out-of-Sample,Medoid 5,15,95,446850.0,44.685,0.911620058436314,10
Full,Best,160,270,556700.0,55.669999999999995,0.5493349612894238,12
Full,Medoid 1,215,230,537250.0,53.725,0.5260398771609909,32
Full,Medoid 2,195,235,513650.0,51.365,0.49951252383522726,20
Full,Medoid 3,255,285,528550.0,52.855,0.5171200128105409,24
Full,Medoid 4,170,205,516550.0,51.654999999999994,0.5017775743487909,22
Full,Medoid 5,15,95,213400.0,21.34,0.1985210400841583,49
